,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1,#,sl1r,sl1l,sl1t,sl1b,sl2r,sl2l,sl2t,sl2b,sl3r,sl3l,sl3t,sl3b,sl4r,sl4l,sl4t,sl4b,xr,yr,zr,ytth,tth,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,ush,usv,dsh,dsv,
2,#,2,2,0.03,0,1,1,5,5.01,10,10,0.1,0.1,4,4,0.4,0.4,19,13.9492,0,-37.259,-3,0,0.942,0.945,0,0,0,0,0,0,0.39025,0,-0.25,0,0.25,
